txn_id,date,customer_id,customer_name,contact_email,tier,plan,amount,type,payment_method,region,notes
TXN-202607-0001,2026-07-02,CUST-1042,Acme Corp,billing@acmecorp.example,Enterprise,Enterprise Annual,18640,renewal,ACH,Midwest,
TXN-202607-0002,2026-07-21,CUST-1043,Globex,billing@globex.example,Enterprise,Enterprise Annual,16100,renewal,Corporate Card,West,
TXN-202607-0003,2026-07-07,CUST-1045,Northstar Logistics,billing@northstarlogistics.example,Enterprise,Enterprise Annual,5915,renewal,ACH,West,
TXN-202607-0004,2026-07-28,CUST-1046,Blue Harbor Systems,billing@blueharborsystems.example,Enterprise,Enterprise Annual,4252,renewal,ACH,Southeast,
TXN-202607-0005,2026-07-16,CUST-1047,Redwood Manufacturing,billing@redwoodmanufacturing.example,Enterprise,Enterprise Annual,7900,renewal,Wire,West,
TXN-202607-0006,2026-07-27,CUST-1048,Summit Health Partners,billing@summithealthpartners.example,Enterprise,Enterprise Annual,6310,renewal,ACH,Southwest,
TXN-202607-0007,2026-07-13,CUST-1049,Cascade Retail Group,billing@cascaderetailgroup.example,Enterprise,Enterprise Annual,7748,renewal,ACH,Northeast,
TXN-202607-0008,2026-07-18,CUST-1050,Atlas Energy Services,billing@atlasenergyservices.example,Enterprise,Enterprise Annual,4446,renewal,Wire,Southwest,
TXN-202607-0009,2026-07-26,CUST-1051,Beacon Financial Labs,billing@beaconfinanciallabs.example,Enterprise,Enterprise Annual,5540,renewal,Corporate Card,Northeast,
TXN-202607-0010,2026-07-18,CUST-1052,Cobalt Mobility,billing@cobaltmobility.example,Enterprise,Enterprise Annual,3874,renewal,Wire,Southwest,
TXN-202607-0011,2026-07-19,CUST-1053,Evergreen Foods,billing@evergreenfoods.example,Enterprise,Enterprise Annual,6164,renewal,Wire,Midwest,
TXN-202607-0012,2026-07-28,CUST-1054,Granite Telecom,billing@granitetelecom.example,Enterprise,Enterprise Annual,5353,renewal,Wire,Southwest,
TXN-202607-0013,2026-07-07,CUST-1055,Horizon BioWorks,billing@horizonbioworks.example,Enterprise,Enterprise Annual,4639,renewal,Corporate Card,Southwest,
TXN-202607-0014,2026-07-02,CUST-1056,Juniper Aerospace,billing@juniperaerospace.example,Enterprise,Enterprise Annual,4015,renewal,ACH,Southeast,
TXN-202607-0015,2026-07-07,CUST-1057,Keystone Insurance,billing@keystoneinsurance.example,Enterprise,Enterprise Annual,7900,renewal,ACH,Northeast,
